trace_name,source_magnitude
C:/Users/evano/Documents/MAGNITUDO/img/A16.CN_20150121053158_EV.png,3.7
C:/Users/evano/Documents/MAGNITUDO/img/A64.CN_20130711201601_EV.png,4.4
C:/Users/evano/Documents/MAGNITUDO/img/AC04.C1_20140616231955_EV.png,4.2
C:/Users/evano/Documents/MAGNITUDO/img/AC04.C1_20140720063145_EV.png,4.56
C:/Users/evano/Documents/MAGNITUDO/img/AC04.C1_20140720063148_EV.png,4.56
C:/Users/evano/Documents/MAGNITUDO/img/ACER.IV_20130917225636_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/ACOR.HA_20100827112317_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AGG.HT_20141028093302_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AHID.US_20100620235906_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AHID.US_20120228204157_EV.png,3.1
C:/Users/evano/Documents/MAGNITUDO/img/AHID.US_20120228204158_EV.png,3.1
C:/Users/evano/Documents/MAGNITUDO/img/AHUD.HV_20161002025020_EV.png,3.2
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20130815105111_EV.png,3.1
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20130815105112_EV.png,3.1
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20140309113129_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20140309113132_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20140320032819_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AKH.GO_20140320032820_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AKRB.AV_20100820164042_EV.png,5.2
C:/Users/evano/Documents/MAGNITUDO/img/AKRB.AV_20130720003118_EV.png,4
C:/Users/evano/Documents/MAGNITUDO/img/AKRB.AV_20130720003120_EV.png,4
C:/Users/evano/Documents/MAGNITUDO/img/AKUT.AT_20070930071231_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AKUT.AT_20130720003118_EV.png,4
C:/Users/evano/Documents/MAGNITUDO/img/AKUT.AT_20130720003120_EV.png,4
C:/Users/evano/Documents/MAGNITUDO/img/ALN.HT_20091005124111_EV.png,3.4
C:/Users/evano/Documents/MAGNITUDO/img/AMKA.AV_20090614084000_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AMT.HP_20100413024622_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AMT.HP_20100413024626_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AMT.HP_20110103092853_EV.png,3.9
C:/Users/evano/Documents/MAGNITUDO/img/AMT.HP_20120218015732_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AMT.HP_20120218015736_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/ANVS.KR_20131108020430_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/ANVS.KR_20131108020434_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AOS.HT_20100717051119_EV.png,3.2
C:/Users/evano/Documents/MAGNITUDO/img/AOS.HT_20120802103034_EV.png,3.78
C:/Users/evano/Documents/MAGNITUDO/img/AOS.HT_20120802103035_EV.png,3.78
C:/Users/evano/Documents/MAGNITUDO/img/AOS.HT_20140609220252_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20020606021534_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20030630101103_EV.png,3.7
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20030831103402_EV.png,3.2
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20060113102008_EV.png,3.4
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090405204848_EV.png,3.99
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090405223939_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406022743_EV.png,4.2
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406023129_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406044747_EV.png,3.7
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406062849_EV.png,3.5
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406072418_EV.png,3.6
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406084011_EV.png,3.1
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406085401_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406085402_EV.png,3.3
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406095921_EV.png,3.8
C:/Users/evano/Documents/MAGNITUDO/img/AQU.MN_20090406101231_EV.png,3.7
